old_name,item_text,range,name,new_name,rev_code,mini,maxi,level,perspective,type,observer
ts.IDnum,ID number of target,,SID,proc__SID,1,,,trait,self,proc,
ts.DEM01,Your sex,1 = Male; 2 = Female,sex,dem__sex,1,,,trait,self,dem,
ts.DEM02,Your age,numeric variable,age,dem__age,1,,,trait,self,dem,
ts.DEM03,Your sexual orientation,1 = Heterosexual; 2 = Homosexual; 3 = Bisexual; 4 = other (see t.DEM04),sexOr,dem__sexOr,1,,,trait,self,dem,
ts.DEM05,Your year in school,1  = I am not a student; 2 = Freshman; 3 = Sophomore; 4 = Junior; 5 = Senior; 6 = 1st year graduate student; 7 = 2nd year graduate student; 8 = 3rd  year graduate student; 9 = 4th year graduate student; 10 = 5th year graduate student; 11 = 6th year graduate student; 12 = 7th year graduate student; 14 = Other,YrSchl,dem__YrSchl,1,,,trait,self,dem,
ts.DEM06,Your ethnicity,1 = hispanic or latino; 2 = not hispanic or latino,Ethn,dem__Ethn,1,,,trait,self,dem,
ts.DEM07,Your race (choose all that apply),"0 = none; 1 = American Indian or Alaska Native; 2 = Asian or Asian-American; 3 = Black or African American; 4 = Native Hawaiian or Other Pacific Islander; 5 = White; 6= Other; 7= White AND Black or African American; 8 =Black or African American AND other, 9 = Black or African American AND Asian or Asian American; 10 = White AND Other, 11 = Black or African American AND ????; 12 = ; 13 = ; 14 = ; 15 = ; 16 = ",Race,dem__Race,1,,,trait,self,dem,
ts.BFI02,tends to find fault with others,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.A_1,personality__BFI.A_1,-1,1,15,trait,self,personality,
ts.BFI22,is generally trusting,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.A_2,personality__BFI.A_2,1,1,15,trait,self,personality,
ts.BFI12,starts quarrels with others,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.A_3,personality__BFI.A_3,-1,1,15,trait,self,personality,
ts.BFI17,has a forgiving nature,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.A_4,personality__BFI.A_4,1,1,15,trait,self,personality,
ts.BFI27,can be cold and aloof,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.A_5,personality__BFI.A_5,-1,1,15,trait,self,personality,
ts.BFI42,likes to cooperate with others,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.A_6,personality__BFI.A_6,1,1,15,trait,self,personality,
ts.BFI37,is sometimes rude to others,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.A_7,personality__BFI.A_7,-1,1,15,trait,self,personality,
ts.BFI07,helpful and unselfish with others,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.A_8,personality__BFI.A_8,1,1,15,trait,self,personality,
ts.BFI32,is considerate and kind to almost everyone,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.A_9,personality__BFI.A_9,1,1,15,trait,self,personality,
ts.BFI03,does a thorough job,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.C_1,personality__BFI.C_1,1,1,15,trait,self,personality,
ts.BFI23,lazy,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.C_2,personality__BFI.C_2,-1,1,15,trait,self,personality,
ts.BFI18,tends to be disorganized,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.C_3,personality__BFI.C_3,-1,1,15,trait,self,personality,
ts.BFI28,perseveres until the task is finished,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.C_4,personality__BFI.C_4,1,1,15,trait,self,personality,
ts.BFI33,does things efficiently,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.C_5,personality__BFI.C_5,1,1,15,trait,self,personality,
ts.BFI38,makes plans and follows through with them,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.C_6,personality__BFI.C_6,1,1,15,trait,self,personality,
ts.BFI43,is easily distracted,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.C_7,personality__BFI.C_7,-1,1,15,trait,self,personality,
ts.BFI13, is a reliable worker,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.C_8,personality__BFI.C_8,1,1,15,trait,self,personality,
ts.BFI08,can be somewhat careless,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.C_9,personality__BFI.C_9,-1,1,15,trait,self,personality,
ts.BFI36,"is outgoing, sociable","Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.E_1,personality__BFI.E_1,1,1,15,trait,self,personality,
ts.BFI06,is reserved,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.E_2,personality__BFI.E_2,-1,1,15,trait,self,personality,
ts.BFI01,is talkative,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.E_3,personality__BFI.E_3,1,1,15,trait,self,personality,
ts.BFI16,generates a lot of enthusiasm,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.E_4,personality__BFI.E_4,1,1,15,trait,self,personality,
ts.BFI26,has an assertive personality,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.E_5,personality__BFI.E_5,1,1,15,trait,self,personality,
ts.BFI31,"is sometimes shy, inhibited","Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.E_6,personality__BFI.E_6,-1,1,15,trait,self,personality,
ts.BFI21,tends to be quiet,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.E_7,personality__BFI.E_7,-1,1,15,trait,self,personality,
ts.BFI11,is full of energy,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.E_8,personality__BFI.E_8,1,1,15,trait,self,personality,
ts.BFI39,gets nervous easily,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.N_1,personality__BFI.N_1,1,1,15,trait,self,personality,
ts.BFI09,"is relaxed, handles stress well","Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.N_2,personality__BFI.N_2,-1,1,15,trait,self,personality,
ts.BFI14,can be tense,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.N_3,personality__BFI.N_3,1,1,15,trait,self,personality,
ts.BFI04,"is depressed, blue","Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.N_4,personality__BFI.N_4,1,1,15,trait,self,personality,
ts.BFI24,"is emotionally stable, not easily upset","Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.N_5,personality__BFI.N_5,-1,1,15,trait,self,personality,
ts.BFI29,can be moody,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.N_6,personality__BFI.N_6,1,1,15,trait,self,personality,
ts.BFI34,remains calm in tense situations,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.N_7,personality__BFI.N_7,-1,1,15,trait,self,personality,
ts.BFI19,worries a lot,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.N_8,personality__BFI.N_8,1,1,15,trait,self,personality,
ts.BFI20,has an active imagination,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.O_1,personality__BFI.O_1,1,1,15,trait,self,personality,
ts.BFI10,is curious about many different things,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.O_10,personality__BFI.O_10,1,1,15,trait,self,personality,
ts.BFI41,has few artistic interests,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.O_2,personality__BFI.O_2,-1,1,15,trait,self,personality,
ts.BFI05,"is original, comes up with new ideas","Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.O_3,personality__BFI.O_3,1,1,15,trait,self,personality,
ts.BFI15,"is ingenious, a deep thinker","Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.O_4,personality__BFI.O_4,1,1,15,trait,self,personality,
ts.BFI25,is inventive,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.O_5,personality__BFI.O_5,1,1,15,trait,self,personality,
ts.BFI30,"values artistic, aesthetic experiences","Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.O_6,personality__BFI.O_6,1,1,15,trait,self,personality,
ts.BFI35,prefers work that is routine,"Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.O_7,personality__BFI.O_7,-1,1,15,trait,self,personality,
ts.BFI40,"likes to reflect, play with ideas","Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.O_8,personality__BFI.O_8,1,1,15,trait,self,personality,
ts.BFI44,"is sophisticated in art, music, or literature","Likert scale from 1 to 15; 1 = Disagree strongly, 8 = Neither agree nor disagree, 15 = Agree strongly",BFI.O_9,personality__BFI.O_9,1,1,15,trait,self,personality,
ts.DD.BFI36,"Are you outgoing, sociable in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",E_outgoing,personality__E_outgoing,,,,trait,self,personality,
ts.DD.BFI36.con,How consistent are you on this item?,"1 = Extremely inconsistent, I vary a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, I don't vary at all",E_outgoing,consistency__E_outgoing,,,,trait,self,consistency,
ts.DD.BFI32,"Are you considerate, kind in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",A_kind,personality__A_kind,,,,trait,self,personality,
ts.DD.BFI32.con,How consistent are you on this item?,"1 = Extremely inconsistent, I vary a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, I don't vary at all",A_kind,consistency__A_kind,,,,trait,self,consistency,
ts.DD.NQ11,Do you experience positive emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",posEmo,personality__posEmo,,,,trait,self,personality,
ts.DD.NQ11.con,How consistent are you on this item?,"1 = Extremely inconsistent, I vary a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, I don't vary at all",posEmo,consistency__posEmo,,,,trait,self,consistency,
ts.DD.NQ12,Do you experience negative emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",negEmo,personality__negEmo,,,,trait,self,personality,
ts.DD.NQ12.con,How consistent are you on this item?,"1 = Extremely inconsistent, I vary a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, I don't vary at all",negEmo,consistency__negEmo,,,,trait,self,consistency,
ts.DD.BFI13,Are you reliable in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",C_reliable,personality__C_reliable,,,,trait,self,personality,
ts.DD.BFI13.con,How consistent are you on this item?,"1 = Extremely inconsistent, I vary a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, I don't vary at all",C_reliable,consistency__C_reliable,,,,trait,self,consistency,
ts.DD.NQ07,Are you happy in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",happy,personality__happy,,,,trait,self,personality,
ts.DD.NQ07.con,How consistent are you on this item?,"1 = Extremely inconsistent, I vary a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, I don't vary at all",happy,consistency__happy,,,,trait,self,consistency,
ts.DD.BFI19,Are you someone who is worried in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",N_worried,personality__N_worried,,,,trait,self,personality,
ts.DD.BFI19.con,How consistent are you on this item?,"1 = Extremely inconsistent, I vary a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, I don't vary at all",N_worried,consistency__N_worried,,,,trait,self,consistency,
ts.DD.NQ09,How would you rate your self-esteem in general?,"Likert scale from 1 to 5; 1 = Low, 5 = High",selfEsteem,personality__selfEsteem,,,,trait,self,personality,
ts.DD.NQ09.con,How consistent are you on this item?,"1 = Extremely inconsistent, I vary a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, I don't vary at all",selfEsteem,consistency__selfEsteem,,,,trait,self,consistency,
esm.IDnum,identification number,numeric variable; ,SID,proc__SID,1,,,state,self,proc,
esm.PRO01,frequency,numeric variable; ,freq,proc__freq,1,,,state,self,proc,
esm.PRO03,hour block survey that the responses correspond to,numeric variable; ,hourBlock,proc__hourBlock,1,,,state,self,proc,
esm.PRO04,day of the study that the survey was completed,numeric variable; ,day,proc__day,1,,,state,self,proc,
esm.PRO05,"""real_order?""",numeric variable; ,beepvar,proc__beepvar,1,,,state,self,proc,
esm.BFI37,"During the last hour, how rude were you?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",A_rude,personality__A_rude,-1,1,5,state,self,personality,
esm.BFI21,"During the last hour, how quiet were you?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",E_quiet,personality__E_quiet,-1,1,5,state,self,personality,
esm.BFI23,"During the last hour, how lazy were you?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",C_lazy,personality__C_lazy,-1,1,5,state,self,personality,
esm.BFI09,"During the last hour, how relaxed were you?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",N_relaxed,personality__N_relaxed,-1,1,5,state,self,personality,
esm.BFI04,"During the last hour, did you feel 'depressed, blue'?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",N_depressed,personality__N_depressed,1,1,5,state,self,personality,
esm.BFI36,"During the last hour, how 'outgoing, sociable' were you?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",E_outgoing,personality__E_outgoing,1,1,5,state,self,personality,
esm.BFI32,"During the last hour, how 'considerate, kind' were you?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",A_kind,personality__A_kind,1,1,5,state,self,personality,
esm.BFI13,"During the last hour, how reliable were you?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",C_reliable,personality__C_reliable,1,1,5,state,self,personality,
esm.BFI19,"During the last hour, how worried were you?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",N_worried,personality__N_worried,1,1,5,state,self,personality,
esm.NQ01,"During the last hour, how authentic were you?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",authentic,personality__authentic,1,1,5,state,self,personality,
esm.NQ09,"During the last hour, how would you rate your self-esteem?","Likert scale from 1 to 5; 1 = Low, 5 = High",self_esteem,personality__self_esteem,1,1,5,state,self,personality,
esm.NQ07,"During the last hour, how happy were you?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",happy,personality__happy,1,1,5,state,self,personality,
esm.NQ33,"During the last hour, how lonely were you?","Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",lonely,personality__lonely,1,1,5,state,self,personality,
esm.NQ11,How much positive emotion did you experience?,"Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",posEmo,personality__posEmo,1,1,5,state,self,personality,
esm.NQ12,How much negative emotion did you experience?,"Likert scale from 1 to 5; 1 = Not a lot, 3 = Somewhat, 5 = Very",negEmo,personality__negEmo,1,1,5,state,self,personality,
esm.BH01,During the last hour: Stayed mostly in your room/house,0 = No; 1 = Yes,stayHome,situation__stayHome,,,,state,self,situation,
esm.BH02,During the last hour: Studied/worked,0 = No; 1 = Yes,studied,situation__studied,,,,state,self,situation,
esm.ACT12,During the last hour: Listened to music,0 = No; 1 = Yes,music,situation__music,,,,state,self,situation,
esm.BH03,During the last hour: Passively looked at Facebook,0 = No; 1 = Yes,passFacebook,situation__passFacebook,,,,state,self,situation,
esm.BH04,During the last hour: Actively did something on Facebook,0 = No; 1 = Yes,actFacebook,situation__actFacebook,,,,state,self,situation,
esm.BH05,During the last hour: In pain/sick,0 = No; 1 = Yes,sick,situation__sick,,,,state,self,situation,
esm.BH06,During the last hour: Did something for someone else,0 = No; 1 = Yes,actService,situation__actService,,,,state,self,situation,
esm.BH07,During the last hour: Talked on the phone/Skype,0 = No; 1 = Yes,phone,situation__phone,,,,state,self,situation,
esm.ACT13,During the last hour: Watched a video/tv/movie,0 = No; 1 = Yes,video,situation__video,,,,state,self,situation,
esm.ACT18,During the last hour: Went to class,0 = No; 1 = Yes,class,situation__class,,,,state,self,situation,
i1.IDnum.w1,N/A,text variable; informant ID number,SID,proc__SID,,,,trait,observer,proc,1
i2.IDnum.w1,N/A,text variable; informant ID number,SID,proc__SID,,,,trait,observer,proc,2
i3.IDnum.w1,N/A,text variable; informant ID number,SID,proc__SID,,,,trait,observer,proc,3
i4.IDnum.w1,N/A,text variable; informant ID number,SID,proc__SID,,,,trait,observer,proc,4
