old_name,item_text,range,name,new_name,rev_code,mini,maxi,level,perspective,type,observer
i5.IDnum.w1,N/A,text variable; informant ID number,SID,proc__SID,,,,trait,observer,proc,5
i6.IDnum.w1,N/A,text variable; informant ID number,SID,proc__SID,,,,trait,observer,proc,6
i7.IDnum.w1,N/A,text variable; informant ID number,SID,proc__SID,,,,trait,observer,proc,7
i8.IDnum.w1,N/A,text variable; informant ID number,SID,proc__SID,,,,trait,observer,proc,8
i9.IDnum.w1,N/A,text variable; informant ID number,SID,proc__SID,,,,trait,observer,proc,9
i10.IDnum.w1,N/A,text variable; informant ID number,SID,proc__SID,,,,trait,observer,proc,10
i1t.DD.BFI36.w1,"Is [target's name] outgoing, sociable in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",E_outgoing,personality__E_outgoing,,,,trait,observer,personality,1
i1t.DD.BFI36.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",E_outgoing,consistency__E_outgoing,,,,trait,observer,consistency,1
i1t.DD.BFI32.w1,"Is [target's name] considerate, kind in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",A_kind,personality__A_kind,,,,trait,observer,personality,1
i1t.DD.BFI32.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",A_kind,consistency__A_kind,,,,trait,observer,consistency,1
i1t.DD.NQ11.w1,Does [target's name] experience positive emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",posEmo,personality__posEmo,,,,trait,observer,personality,1
i1t.DD.NQ11.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",posEmo,consistency__posEmo,,,,trait,observer,consistency,1
i1t.DD.NQ12.w1,Does [target's name] experience negative emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",negEmo,personality__negEmo,,,,trait,observer,personality,1
i1t.DD.NQ12.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",negEmo,consistency__negEmo,,,,trait,observer,consistency,1
i1t.DD.BFI13.w1,Is [target's name] reliable in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",C_reliable,personality__C_reliable,,,,trait,observer,personality,1
i1t.DD.BFI13.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",C_reliable,consistency__C_reliable,,,,trait,observer,consistency,1
i1t.DD.NQ07.w1,Is [target's name] happy in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",happy,personality__happy,,,,trait,observer,personality,1
i1t.DD.NQ07.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",happy,consistency__happy,,,,trait,observer,consistency,1
i1t.DD.BFI19.w1,Is [target's name] someone who is worried in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",N_worried,personality__N_worried,,,,trait,observer,personality,1
i1t.DD.BFI19.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",N_worried,consistency__N_worried,,,,trait,observer,consistency,1
i1t.DD.NQ09.w1,How would you rate [target's name] self-esteem in general?,"Likert scale from 1 to 5; 1 = Low, 5 = High",selfEsteem,personality__selfEsteem,,,,trait,observer,personality,1
i1t.DD.NQ09.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",selfEsteem,consistency__selfEsteem,,,,trait,observer,consistency,1
i2t.DD.BFI36.w1,"Is [target's name] outgoing, sociable in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",E_outgoing,personality__E_outgoing,,,,trait,observer,personality,2
i2t.DD.BFI36.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",E_outgoing,consistency__E_outgoing,,,,trait,observer,consistency,2
i2t.DD.BFI32.w1,"Is [target's name] considerate, kind in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",A_kind,personality__A_kind,,,,trait,observer,personality,2
i2t.DD.BFI32.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",A_kind,consistency__A_kind,,,,trait,observer,consistency,2
i2t.DD.NQ11.w1,Does [target's name] experience positive emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",posEmo,personality__posEmo,,,,trait,observer,personality,2
i2t.DD.NQ11.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",posEmo,consistency__posEmo,,,,trait,observer,consistency,2
i2t.DD.NQ12.w1,Does [target's name] experience negative emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",negEmo,personality__negEmo,,,,trait,observer,personality,2
i2t.DD.NQ12.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",negEmo,consistency__negEmo,,,,trait,observer,consistency,2
i2t.DD.BFI13.w1,Is [target's name] reliable in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",C_reliable,personality__C_reliable,,,,trait,observer,personality,2
i2t.DD.BFI13.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",C_reliable,consistency__C_reliable,,,,trait,observer,consistency,2
i2t.DD.NQ07.w1,Is [target's name] happy in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",happy,personality__happy,,,,trait,observer,personality,2
i2t.DD.NQ07.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",happy,consistency__happy,,,,trait,observer,consistency,2
i2t.DD.BFI19.w1,Is [target's name] someone who is worried in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",N_worried,personality__N_worried,,,,trait,observer,personality,2
i2t.DD.BFI19.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",N_worried,consistency__N_worried,,,,trait,observer,consistency,2
i2t.DD.NQ09.w1,How would you rate [target's name] self-esteem in general?,"Likert scale from 1 to 5; 1 = Low, 5 = High",selfEsteem,personality__selfEsteem,,,,trait,observer,personality,2
i2t.DD.NQ09.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",selfEsteem,consistency__selfEsteem,,,,trait,observer,consistency,2
i3t.DD.BFI36.w1,"Is [target's name] outgoing, sociable in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",E_outgoing,personality__E_outgoing,,,,trait,observer,personality,3
i3t.DD.BFI36.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",E_outgoing,consistency__E_outgoing,,,,trait,observer,consistency,3
i3t.DD.BFI32.w1,"Is [target's name] considerate, kind in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",A_kind,personality__A_kind,,,,trait,observer,personality,3
i3t.DD.BFI32.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",A_kind,consistency__A_kind,,,,trait,observer,consistency,3
i3t.DD.NQ11.w1,Does [target's name] experience positive emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",posEmo,personality__posEmo,,,,trait,observer,personality,3
i3t.DD.NQ11.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",posEmo,consistency__posEmo,,,,trait,observer,consistency,3
i3t.DD.NQ12.w1,Does [target's name] experience negative emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",negEmo,personality__negEmo,,,,trait,observer,personality,3
i3t.DD.NQ12.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",negEmo,consistency__negEmo,,,,trait,observer,consistency,3
i3t.DD.BFI13.w1,Is [target's name] reliable in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",C_reliable,personality__C_reliable,,,,trait,observer,personality,3
i3t.DD.BFI13.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",C_reliable,consistency__C_reliable,,,,trait,observer,consistency,3
i3t.DD.NQ07.w1,Is [target's name] happy in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",happy,personality__happy,,,,trait,observer,personality,3
i3t.DD.NQ07.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",happy,consistency__happy,,,,trait,observer,consistency,3
i3t.DD.BFI19.w1,Is [target's name] someone who is worried in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",N_worried,personality__N_worried,,,,trait,observer,personality,3
i3t.DD.BFI19.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",N_worried,consistency__N_worried,,,,trait,observer,consistency,3
i3t.DD.NQ09.w1,How would you rate [target's name] self-esteem in general?,"Likert scale from 1 to 5; 1 = Low, 5 = High",selfEsteem,personality__selfEsteem,,,,trait,observer,personality,3
i3t.DD.NQ09.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",selfEsteem,consistency__selfEsteem,,,,trait,observer,consistency,3
i4t.DD.BFI36.w1,"Is [target's name] outgoing, sociable in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",E_outgoing,personality__E_outgoing,,,,trait,observer,personality,4
i4t.DD.BFI36.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",E_outgoing,consistency__E_outgoing,,,,trait,observer,consistency,4
i4t.DD.BFI32.w1,"Is [target's name] considerate, kind in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",A_kind,personality__A_kind,,,,trait,observer,personality,4
i4t.DD.BFI32.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",A_kind,consistency__A_kind,,,,trait,observer,consistency,4
i4t.DD.NQ11.w1,Does [target's name] experience positive emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",posEmo,personality__posEmo,,,,trait,observer,personality,4
i4t.DD.NQ11.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",posEmo,consistency__posEmo,,,,trait,observer,consistency,4
i4t.DD.NQ12.w1,Does [target's name] experience negative emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",negEmo,personality__negEmo,,,,trait,observer,personality,4
i4t.DD.NQ12.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",negEmo,consistency__negEmo,,,,trait,observer,consistency,4
i4t.DD.BFI13.w1,Is [target's name] reliable in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",C_reliable,personality__C_reliable,,,,trait,observer,personality,4
i4t.DD.BFI13.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",C_reliable,consistency__C_reliable,,,,trait,observer,consistency,4
i4t.DD.NQ07.w1,Is [target's name] happy in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",happy,personality__happy,,,,trait,observer,personality,4
i4t.DD.NQ07.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",happy,consistency__happy,,,,trait,observer,consistency,4
i4t.DD.BFI19.w1,Is [target's name] someone who is worried in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",N_worried,personality__N_worried,,,,trait,observer,personality,4
i4t.DD.BFI19.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",N_worried,consistency__N_worried,,,,trait,observer,consistency,4
i4t.DD.NQ09.w1,How would you rate [target's name] self-esteem in general?,"Likert scale from 1 to 5; 1 = Low, 5 = High",selfEsteem,personality__selfEsteem,,,,trait,observer,personality,4
i4t.DD.NQ09.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",selfEsteem,consistency__selfEsteem,,,,trait,observer,consistency,4
i5t.DD.BFI36.w1,"Is [target's name] outgoing, sociable in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",E_outgoing,personality__E_outgoing,,,,trait,observer,personality,5
i5t.DD.BFI36.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",E_outgoing,consistency__E_outgoing,,,,trait,observer,consistency,5
i5t.DD.BFI32.w1,"Is [target's name] considerate, kind in general?","Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",A_kind,personality__A_kind,,,,trait,observer,personality,5
i5t.DD.BFI32.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",A_kind,consistency__A_kind,,,,trait,observer,consistency,5
i5t.DD.NQ11.w1,Does [target's name] experience positive emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",posEmo,personality__posEmo,,,,trait,observer,personality,5
i5t.DD.NQ11.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",posEmo,consistency__posEmo,,,,trait,observer,consistency,5
i5t.DD.NQ12.w1,Does [target's name] experience negative emotions in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = A lot",negEmo,personality__negEmo,,,,trait,observer,personality,5
i5t.DD.NQ12.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",negEmo,consistency__negEmo,,,,trait,observer,consistency,5
i5t.DD.BFI13.w1,Is [target's name] reliable in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",C_reliable,personality__C_reliable,,,,trait,observer,personality,5
i5t.DD.BFI13.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",C_reliable,consistency__C_reliable,,,,trait,observer,consistency,5
i5t.DD.NQ07.w1,Is [target's name] happy in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",happy,personality__happy,,,,trait,observer,personality,5
i5t.DD.NQ07.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",happy,consistency__happy,,,,trait,observer,consistency,5
i5t.DD.BFI19.w1,Is [target's name] someone who is worried in general?,"Likert scale from 1 to 5; 1 = Not at all, 5 = Extremely",N_worried,personality__N_worried,,,,trait,observer,personality,5
i5t.DD.BFI19.con.w1,How consistent is [target's name] on this item?,"1 = Extremely inconsistent, varies a lot; 2 = Pretty inconsistent; 3 = Pretty consistent; 4 = Extremely consistent, doesn't vary at all",N_worried,consistency__N_worried,,,,trait,observer,consistency,5
i5t.DD.NQ09.w1,How would you rate [target's name] self-esteem in general?,"Likert scale from 1 to 5; 1 = Low, 5 = High",selfEsteem,personality__selfEsteem,,,,trait,observer,personality,5
