"proc__SID","dem__sex","dem__age","dem__sexOr","dem__YrSchl","dem__Ethn","dem__Race","personality__BFI.A_1","personality__BFI.A_2","personality__BFI.A_3","personality__BFI.A_4","personality__BFI.A_5","personality__BFI.A_6","personality__BFI.A_7","personality__BFI.A_8","personality__BFI.A_9","personality__BFI.C_1","personality__BFI.C_2","personality__BFI.C_3","personality__BFI.C_4","personality__BFI.C_5","personality__BFI.C_6","personality__BFI.C_7","personality__BFI.C_8","personality__BFI.C_9","personality__BFI.E_1","personality__BFI.E_2","personality__BFI.E_3","personality__BFI.E_4","personality__BFI.E_5","personality__BFI.E_6","personality__BFI.E_7","personality__BFI.E_8","personality__BFI.N_1","personality__BFI.N_2","personality__BFI.N_3","personality__BFI.N_4","personality__BFI.N_5","personality__BFI.N_6","personality__BFI.N_7","personality__BFI.N_8","personality__BFI.O_1","personality__BFI.O_2","personality__BFI.O_3","personality__BFI.O_4","personality__BFI.O_5","personality__BFI.O_6","personality__BFI.O_7","personality__BFI.O_8","personality__BFI.O_9","personality__BFI.O_10","personality__E_outgoing","consistency__E_outgoing","personality__A_kind","consistency__A_kind","personality__posEmo","consistency__posEmo","personality__negEmo","consistency__negEmo","personality__C_reliable","consistency__C_reliable","personality__happy","consistency__happy","personality__N_worried","consistency__N_worried","personality__selfEsteem","consistency__selfEsteem"
1,2,18,1,2,2,2,13,13,2,15,1,8,1,11,14,8,5,15,10,15,1,10,10,14,11,1,11,12,7,6,6,11,5,13,11,9,7,3,8,4,12,3,15,14,10,15,1,13,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,18,1,2,2,2,9,12,2,14,3,14,9,12,9,12,10,10,9,10,9,15,12,10,12,6,12,10,3,9,6,13,4,10,4,2,12,4,12,5,14,2,14,7,13,15,11,9,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,18,1,2,2,2,10,15,3,15,5,13,4,10,11,12,10,12,11,14,5,12,15,12,15,1,15,15,12,2,1,15,1,11,11,1,12,11,14,10,15,1,15,12,11,15,1,13,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,18,1,2,2,2,4,12,5,12,5,12,4,11,11,13,5,12,11,11,5,12,11,7,13,3,14,11,6,4,4,12,7,7,13,3,13,4,12,10,11,8,10,10,8,5,11,7,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2,19,1,3,2,5,4,14,1,14,2,11,3,14,14,12,14,5,7,10,10,10,13,9,8,14,4,8,1,15,12,4,13,4,9,11,6,12,5,15,12,5,10,12,9,13,10,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,18,1,2,2,5,10,10,5,10,10,7,7,11,9,10,12,12,10,9,12,10,10,9,9,12,10,10,12,10,9,8,6,10,8,4,12,7,12,5,7,7,11,13,12,9,5,12,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2,27,3,1,2,5,12,10,2,7,5,7,5,11,11,15,9,9,10,11,15,13,12,4,11,9,15,10,13,11,1,9,15,3,15,13,11,11,8,15,15,1,13,11,11,15,12,11,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,19,1,3,2,3,9,10,1,11,11,10,12,9,10,5,11,13,1,5,3,11,4,9,10,3,10,6,1,9,7,6,14,1,13,13,1,13,3,15,3,7,5,1,4,11,6,8,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2,18,3,3,2,3,7,14,9,14,2,14,10,14,14,13,5,5,8,9,14,9,10,6,14,1,13,13,12,3,2,14,5,9,9,1,12,11,10,10,3,5,10,11,9,11,10,10,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2,18,3,2,2,5,13,5,5,12,9,9,9,9,11,12,10,3,9,15,7,8,13,7,6,7,9,10,5,10,8,4,13,9,12,13,2,15,10,15,13,7,11,15,8,10,9,8,9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,20,4,4,2,5,10,15,9,15,1,13,10,10,12,9,11,10,10,14,14,12,7,13,13,2,8,10,3,5,6,14,10,12,10,5,10,9,11,9,14,3,13,12,11,15,1,11,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2,18,1,2,2,5,5,14,3,12,9,15,11,14,15,13,6,3,11,12,12,11,14,4,12,5,12,12,8,11,5,11,8,13,10,2,10,11,12,10,8,6,9,12,7,12,8,9,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2,18,1,2,2,5,11,12,10,14,6,11,12,11,13,12,11,5,11,11,10,10,14,11,14,6,13,11,13,8,5,12,9,13,9,3,14,4,14,10,14,7,11,12,13,14,11,11,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2,18,1,2,2,5,9,14,2,14,6,14,3,5,15,13,6,5,11,13,14,10,15,3,13,4,15,12,13,5,1,11,14,2,15,2,3,3,3,13,14,2,11,12,13,15,14,14,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2,18,1,2,2,5,9,13,4,12,4,14,4,10,13,13,6,3,14,13,14,4,14,5,13,9,13,13,14,10,7,13,11,7,12,4,10,9,11,14,12,6,9,10,9,11,9,10,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2,19,1,3,2,5,5,15,2,14,2,12,7,14,15,14,5,3,15,12,11,9,13,3,12,8,12,15,9,11,9,13,9,14,9,2,12,9,13,7,14,1,12,9,15,15,8,15,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,19,1,2,2,2,6,12,5,11,8,12,5,13,13,13,9,7,11,10,14,6,11,8,9,5,10,9,9,4,4,8,3,11,9,2,14,5,13,11,14,13,12,8,13,7,6,15,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,18,1,2,2,5,13,5,11,6,11,15,9,7,8,11,7,11,14,12,12,11,13,7,7,9,4,8,14,12,13,6,5,15,9,1,15,1,15,1,13,10,14,15,13,15,13,15,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2,19,3,3,2,3,9,11,11,3,12,7,13,7,5,12,14,9,13,10,10,10,13,9,10,3,12,6,15,3,3,7,5,11,8,3,9,13,9,7,9,10,11,9,9,7,10,7,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2,18,1,2,2,2,12,12,4,13,4,14,6,12,13,10,10,11,10,5,6,13,10,9,12,7,11,11,4,14,6,6,13,5,10,13,5,13,6,13,7,6,7,11,6,15,9,13,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2,18,1,2,2,5,5,11,1,10,3,10,7,12,13,12,4,4,13,13,12,6,13,6,9,8,8,8,7,7,8,11,10,9,10,3,12,4,11,9,9,8,11,11,10,9,9,14,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,2,18,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2,19,1,3,2,2,14,12,2,6,3,12,9,12,11,10,12,11,10,2,5,14,10,11,13,5,12,13,6,7,2,13,3,9,11,5,14,7,11,4,10,6,9,7,7,15,6,6,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,2,19,4,3,2,5,15,8,2,8,13,8,10,4,4,8,12,8,8,2,8,12,8,12,1,14,5,2,4,15,12,3,15,2,14,11,2,12,2,15,10,1,5,4,2,15,8,12,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2,19,1,3,2,3,5,14,5,14,8,14,5,12,12,14,10,3,10,15,12,4,15,10,12,13,12,13,9,14,14,11,6,14,7,6,14,10,15,9,13,8,10,10,10,14,11,14,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2,20,1,3,2,5,5,12,3,12,9,13,11,13,14,12,8,6,12,13,13,8,13,10,9,12,10,10,6,14,13,8,12,11,10,2,12,12,10,10,12,2,12,9,11,13,8,12,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2,18,1,2,2,NA,4,12,2,11,5,8,3,12,13,15,8,2,13,13,14,13,13,6,8,11,10,9,6,12,11,10,10,8,10,2,5,5,11,9,10,5,11,13,11,8,14,9,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,18,1,2,2,5,4,6,5,13,4,8,6,12,13,14,4,14,12,10,11,10,13,11,12,1,13,10,13,4,2,10,6,10,8,2,7,7,7,7,10,2,8,10,10,11,10,5,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,18,1,2,2,5,7,14,4,13,4,13,9,14,14,13,10,9,13,13,13,10,13,4,9,14,6,10,12,11,13,13,4,12,10,3,14,6,14,2,9,9,10,8,11,10,6,11,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,18,1,2,1,5,4,15,9,12,6,12,11,12,13,13,12,11,15,14,15,13,15,11,14,4,14,15,11,9,3,14,10,13,11,10,15,11,11,14,15,7,11,11,15,15,12,13,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,2,18,1,2,1,5,7,7,2,8,10,9,2,11,14,12,7,2,10,9,12,7,13,5,8,10,9,9,9,11,9,6,10,7,10,8,6,10,8,13,12,5,8,11,4,13,5,13,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,18,1,2,2,2,9,11,1,10,1,14,8,13,14,13,5,6,13,11,11,3,13,12,3,14,10,9,9,11,15,14,2,12,3,3,13,2,10,4,12,2,10,11,10,14,4,6,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2,18,1,2,2,5,9,9,8,6,10,8,8,8,10,10,10,6,8,10,13,10,12,10,7,12,6,7,8,12,13,9,15,8,14,4,6,11,8,12,8,5,7,9,7,13,10,11,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,19,1,3,2,5,5,14,3,15,2,10,5,13,14,11,10,5,12,6,14,13,13,10,15,3,14,14,9,2,2,13,9,4,10,11,10,14,4,9,9,3,12,10,7,14,11,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2,NA,NA,NA,NA,NA,7,11,1,9,3,12,3,13,15,15,1,1,15,15,15,10,15,1,7,11,8,8,15,15,10,12,7,15,12,1,15,9,15,9,12,1,10,14,3,12,3,9,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2,18,1,2,2,2,11,13,12,4,11,14,12,10,12,14,12,7,14,14,11,10,14,12,13,8,12,12,14,9,5,11,11,7,14,5,9,13,11,13,10,10,9,9,5,9,14,7,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2,18,1,2,2,5,8,11,5,13,9,12,5,10,13,11,9,9,11,12,10,9,10,10,9,8,10,10,8,13,9,12,5,13,8,1,12,7,14,6,10,1,11,9,10,13,9,13,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2,19,1,3,2,2,12,9,10,14,2,13,9,12,13,13,13,13,13,11,13,11,13,12,13,6,13,14,13,9,4,14,5,12,10,2,14,6,13,5,12,3,13,11,13,13,6,9,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,2,19,3,3,2,3,6,5,12,10,9,10,3,13,11,15,2,15,8,12,12,8,12,6,15,10,13,13,11,10,3,15,7,11,13,6,11,9,12,12,13,1,13,14,8,15,14,14,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,2,18,1,2,2,3,4,13,2,10,3,10,5,6,13,11,8,11,11,10,6,9,12,9,15,2,12,11,7,2,2,8,8,9,8,1,10,7,8,8,8,2,6,6,8,13,11,8,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2,28,1,1,2,5,4,12,4,13,3,11,4,13,13,10,7,3,14,11,4,12,14,7,13,6,13,10,11,13,1,10,11,4,13,4,8,7,3,15,9,8,12,3,10,14,7,7,6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,2,18,1,2,2,3,5,13,3,14,5,13,8,9,12,10,7,15,11,11,9,13,11,11,10,5,13,13,4,3,3,15,9,10,9,3,14,3,13,10,14,1,11,5,13,14,7,9,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,2,18,1,2,2,3,4,7,4,13,3,11,3,12,14,13,6,6,12,11,14,7,12,3,12,7,8,10,9,7,6,7,3,12,5,4,13,3,14,5,8,2,9,14,8,14,8,15,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,2,21,1,5,2,3,11,14,10,13,3,11,10,9,7,14,3,3,14,11,14,8,15,13,15,1,15,14,15,2,1,15,5,13,6,3,13,10,13,2,9,11,10,2,2,1,5,3,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,2,24,1,7,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2,18,3,10,2,5,11,3,10,14,1,14,6,11,12,15,3,3,15,15,15,5,15,4,15,2,15,15,15,3,2,15,8,9,13,3,10,11,14,11,13,4,10,12,11,13,15,10,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2,20,1,4,2,3,9,14,15,8,15,10,7,14,14,10,13,14,7,7,10,15,10,14,14,11,13,15,14,13,8,11,4,7,14,13,10,14,13,13,15,4,14,14,14,15,4,12,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2,19,1,3,2,5,6,13,2,13,5,14,7,11,14,15,6,1,13,13,12,11,14,7,13,7,13,13,13,3,8,13,6,11,9,2,12,6,6,8,13,2,15,13,15,15,8,13,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2,20,1,3,2,5,5,15,1,8,1,11,1,11,13,15,1,1,15,13,15,5,15,2,13,3,12,11,8,11,6,13,10,10,9,4,8,2,10,10,5,1,5,10,4,15,13,8,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2,23,1,5,2,5,13,11,2,7,5,13,2,9,12,10,13,9,6,6,10,13,10,8,9,14,7,4,6,12,12,6,14,11,13,3,5,9,12,11,10,5,10,13,11,11,9,15,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,2,18,1,2,2,3,8,4,2,8,4,12,9,6,4,3,12,12,10,11,7,9,10,12,12,4,14,12,12,4,4,12,7,12,4,2,12,11,10,4,12,9,9,3,12,4,1,7,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1,22,4,1,2,5,8,13,7,15,10,15,9,15,15,11,9,15,10,15,10,14,15,10,9,12,10,12,9,15,10,12,11,11,12,10,10,7,13,6,15,5,15,15,15,15,5,15,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,2,18,1,2,2,2,12,6,4,10,4,12,10,10,13,13,11,10,9,11,10,10,10,12,13,4,14,14,10,4,4,14,11,5,10,6,4,13,5,13,13,6,10,6,6,12,12,6,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,2,21,1,5,2,3,10,13,13,13,12,12,8,13,10,13,3,10,8,11,12,12,13,13,13,4,14,13,13,4,3,14,3,13,13,2,12,5,11,4,12,9,13,13,12,4,3,12,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1,18,1,2,2,3,11,13,11,6,9,6,13,10,10,12,9,4,10,12,14,7,11,11,10,9,9,9,12,10,7,9,10,9,12,7,12,5,7,9,5,14,9,12,7,4,12,13,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1,19,2,2,2,5,6,11,7,10,5,10,6,12,11,6,13,12,5,6,6,12,7,12,11,12,7,10,6,11,11,10,4,12,10,3,11,8,11,6,12,4,11,12,12,11,6,12,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,2,18,1,2,2,5,13,15,10,13,7,3,13,9,4,14,1,12,15,15,15,1,15,4,15,4,12,15,15,11,11,11,6,12,8,1,15,7,12,5,13,15,4,13,10,1,9,8,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,2,18,1,3,2,2,10,6,4,6,4,12,8,12,11,14,11,4,10,11,10,9,12,3,10,8,13,13,10,10,10,10,8,8,8,8,4,11,11,8,15,2,13,10,12,14,8,14,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,2,19,1,2,2,3,11,13,6,14,6,13,7,14,14,14,14,6,12,11,12,15,14,8,13,3,13,13,7,6,4,13,12,7,9,8,6,12,7,12,13,14,9,3,8,5,9,9,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,2,18,1,2,2,2,9,7,2,7,6,12,6,12,11,13,10,9,8,13,15,9,14,3,5,13,10,6,2,14,10,5,14,10,12,5,9,10,9,9,7,2,6,12,7,14,13,6,14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,2,20,4,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2,18,1,2,2,5,10,13,4,13,4,12,9,12,12,13,11,6,12,13,12,7,13,4,11,5,12,13,13,10,10,12,10,12,10,2,13,11,12,10,9,11,10,8,11,12,8,11,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,2,20,1,3,1,5,10,12,1,13,1,15,1,15,15,13,4,12,14,14,15,2,15,12,15,10,11,11,13,9,5,13,1,15,1,1,15,2,14,6,12,9,12,9,11,8,12,15,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,2,18,1,2,2,5,11,10,13,10,9,11,9,14,13,13,1,6,10,13,13,1,14,1,5,15,6,3,7,15,15,6,15,1,14,11,1,14,4,15,3,1,12,13,8,14,14,8,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,2,18,1,2,2,2,11,12,5,15,15,12,10,15,13,11,15,11,12,12,10,15,12,15,15,6,15,15,13,12,1,15,14,2,12,9,10,15,5,15,15,1,15,15,15,15,12,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,2,18,1,2,2,3,13,15,4,14,12,14,8,13,14,15,1,1,14,15,15,2,15,10,13,11,13,15,14,10,1,13,8,12,15,10,4,14,12,14,14,1,12,15,10,13,15,15,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,1,19,1,2,2,5,10,8,3,8,12,8,8,10,12,13,5,4,13,11,11,6,13,8,4,13,7,11,8,13,13,8,2,11,13,11,8,12,14,12,15,2,13,14,12,13,8,12,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2,18,1,2,2,5,3,13,1,15,3,15,1,13,15,14,5,13,12,6,12,15,15,11,3,14,10,12,4,15,14,9,13,11,12,3,14,3,10,13,11,4,11,12,9,3,8,13,10,15,2,3,5,3,4,3,3,3,5,3,4,3,3,2,3,1
101,2,19,1,2,2,2,14,9,11,4,12,6,10,6,9,11,12,11,10,9,9,10,10,13,10,11,12,5,10,11,10,5,10,12,11,9,13,11,12,7,6,5,7,9,7,11,12,11,10,11,3,2,4,3,3,2,3,2,2,3,3,2,3,3,4,2
102,2,19,1,2,2,2,8,14,2,10,7,3,3,10,11,13,11,6,11,10,13,9,13,9,10,5,10,9,4,9,12,9,5,9,2,9,7,4,12,13,13,11,11,10,9,12,15,12,10,12,3,2,3,3,4,3,4,3,3,3,2,2,4,3,3,3
103,2,20,1,3,2,5,1,11,1,15,1,15,1,12,12,8,10,10,5,14,8,15,8,6,12,1,15,8,5,3,4,13,6,12,5,2,15,8,11,4,15,4,13,8,12,12,3,12,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
